,Salary
3391,100000.0
6460,70000.0
6470,35000.0
6385,75000.0
175,85000.0
3654,120000.0
4139,85000.0
1234,70000.0
2855,65840.0
2409,114776.0
1096,190000.0
2621,191159.0
4533,125000.0
199,110000.0
15,125000.0
277,70000.0
1322,180000.0
5130,180000.0
2545,174305.0
990,190000.0
4559,65000.0
2569,174436.0
2412,106492.0
6270,130000.0
967,150000.0
200,180000.0
6344,55000.0
2817,163978.0
1282,55000.0
6308,50000.0
1201,175000.0
4571,35000.0
4542,40000.0
2200,200000.0
3411,32000.0
1532,135000.0
6272,180000.0
2658,190000.0
336,40000.0
56,65000.0
2783,84181.0
973,100000.0
1529,170000.0
43,45000.0
100,45000.0
288,130000.0
4015,60000.0
515,185000.0
101,95000.0
2437,188484.0
107,60000.0
1334,140000.0
6608,35000.0
3431,140000.0
2407,139817.0
1667,140000.0
5254,185000.0
4558,45000.0
3398,130000.0
3443,120000.0
128,50000.0
4574,100000.0
1317,140000.0
985,180000.0
2681,150000.0
4273,26000.0
2576,79767.0
5248,85000.0
3418,50000.0
2628,108607.0
3440,150000.0
2571,163558.0
2850,155795.0
4551,32000.0
3098,170226.0
4275,71000.0
2644,129686.0
2137,55000.0
957,160000.0
4563,65000.0
5263,170000.0
2604,152944.0
3643,30000.0
1493,55000.0
1210,95000.0
227,70000.0
232,50000.0
3387,50000.0
5516,130000.0
2579,113563.0
163,80000.0
3112,192211.0
1892,160000.0
278,95000.0
148,80000.0
6377,120000.0
6588,80000.0
1423,130000.0
2139,120000.0
6371,45000.0
332,160000.0
192,45000.0
1919,105000.0
335,170000.0
4573,42000.0
63,180000.0
4019,90000.0
6618,140000.0
3422,80000.0
6468,180000.0
4156,26000.0
2543,191915.0
3135,168691.0
4141,138000.0
1785,115000.0
1269,200000.0
6261,80000.0
1256,190000.0
2435,188232.0
219,100000.0
3097,120288.0
300,180000.0
5499,130000.0
5639,180000.0
4553,50000.0
2426,138032.0
534,195000.0
6372,190000.0
2829,179756.0
3664,35000.0
1898,190000.0
1233,175000.0
5249,160000.0
2132,130000.0
4878,170000.0
2602,70022.0
3659,85000.0
3388,160000.0
1908,90000.0
2398,190004.0
6016,70000.0
6023,135000.0
4880,30000.0
2633,174324.0
5260,150000.0
316,80000.0
1536,165000.0
4540,90000.0
2608,47898.0
6321,40000.0
4036,45000.0
3099,134979.0
2555,167207.0
1242,105000.0
6328,50000.0
291,180000.0
6304,180000.0
520,175000.0
2810,150729.0
237,140000.0
209,40000.0
3897,140000.0
5126,80000.0
58,55000.0
4766,125000.0
5136,140000.0
536,198000.0
5625,120000.0
4148,99000.0
5515,70000.0
5394,120000.0
3141,70000.0
2537,90452.0
2454,62852.0
3650,110000.0
118,45000.0
3405,95000.0
2794,156486.0
1276,120000.0
1264,185000.0
81,80000.0
2597,181902.0
677,150000.0
5507,170000.0
84,40000.0
5496,100000.0
